station_name,station_type,latitude,longitude,source
Johannisthaler Chaussee,u_bahn,52.42932900,13.45336050,VBB GTFS
Julius-Leber-Brücke,s_bahn,52.48643050,13.36107800,VBB GTFS
Jungfernheide Bhf,s_bahn,52.53040450,13.29930850,VBB GTFS
Jungfernheide Bhf,u_bahn,52.53076950,13.30063300,VBB GTFS
Kaiserdamm,u_bahn,52.51008600,13.28310300,VBB GTFS
Kaiserin-Augusta-Str.,u_bahn,52.45997650,13.38463400,VBB GTFS
Karl-Bonhoeffer-Nervenklinik,s_bahn,52.57801700,13.32899400,VBB GTFS
Karl-Bonhoeffer-Nervenklinik,u_bahn,52.57889350,13.33339350,VBB GTFS
Karl-Marx-Str.,u_bahn,52.47652200,13.43921800,VBB GTFS
Karlshorst,s_bahn,52.48057000,13.52705950,VBB GTFS
Karow Bhf,s_bahn,52.61523500,13.46940900,VBB GTFS
Kaulsdorf,s_bahn,52.51212050,13.59048000,VBB GTFS
Kaulsdorf-Nord,u_bahn,52.52090800,13.58895300,VBB GTFS
Kienberg (Gärten der Welt),u_bahn,52.52851650,13.59056200,VBB GTFS
Kleistpark,u_bahn,52.49036400,13.36027500,VBB GTFS
Klosterstr.,u_bahn,52.51719700,13.41242100,VBB GTFS
Kochstr. (Checkpoint Charlie),u_bahn,52.50603800,13.39060850,VBB GTFS
Konstanzer Str.,u_bahn,52.49455200,13.30908050,VBB GTFS
Kottbusser Tor,u_bahn,52.49894800,13.41820325,VBB GTFS
Krumme Lanke,u_bahn,52.44358900,13.24147700,VBB GTFS
Kurfürstendamm,u_bahn,52.50357850,13.33195825,VBB GTFS
Kurfürstenstr.,u_bahn,52.50011000,13.36147000,VBB GTFS
Kurt-Schumacher-Platz,u_bahn,52.56324900,13.32705950,VBB GTFS
Köllnische Heide,s_bahn,52.46963800,13.46807200,VBB GTFS
Königs Wusterhausen,s_bahn,52.29664200,13.63147900,VBB GTFS
Köpenick,s_bahn,52.45858350,13.58147500,VBB GTFS
Landsberger Allee,s_bahn,52.52935100,13.45491900,VBB GTFS
Lankwitz,s_bahn,52.43875700,13.34204100,VBB GTFS
Lehnitz,s_bahn,52.74115800,13.26339100,VBB GTFS
Leinestr.,u_bahn,52.47343700,13.42812100,VBB GTFS
Leopoldplatz,u_bahn,52.54640125,13.35914325,VBB GTFS
Lichtenberg Bhf,s_bahn,52.51026150,13.49789850,VBB GTFS
Lichtenberg Bhf,u_bahn,52.51116650,13.49831650,VBB GTFS
Lichtenrade,s_bahn,52.38706900,13.39630100,VBB GTFS
Lichterfelde Ost Bhf,s_bahn,52.42996050,13.32821450,VBB GTFS
Lichterfelde Süd,s_bahn,52.41023450,13.30867700,VBB GTFS
Lichterfelde West,s_bahn,52.44315850,13.29316250,VBB GTFS
Lindauer Allee,u_bahn,52.57536900,13.33911250,VBB GTFS
Lipschitzallee,u_bahn,52.42464100,13.46269550,VBB GTFS
Louis-Lewin-Str.,u_bahn,52.53897200,13.61833000,VBB GTFS
Magdalenenstr.,u_bahn,52.51247100,13.48698600,VBB GTFS
Mahlow,s_bahn,52.36076350,13.40779550,VBB GTFS
Mahlsdorf Bhf,s_bahn,52.51211325,13.61065650,VBB GTFS
Marienfelde,s_bahn,52.42428700,13.37463300,VBB GTFS
Marzahn,s_bahn,52.54329050,13.54103500,VBB GTFS
Mehringdamm,u_bahn,52.49458400,13.38898650,VBB GTFS
Mehrower Allee,s_bahn,52.55777200,13.55365650,VBB GTFS
Mendelssohn-Bartholdy-Park,u_bahn,52.50380300,13.37488300,VBB GTFS
Messe Nord/ZOB,s_bahn,52.50772100,13.28348250,VBB GTFS
Messe Süd,s_bahn,52.49856800,13.27039200,VBB GTFS
Mexikoplatz,s_bahn,52.43675100,13.23322500,VBB GTFS
Mierendorffplatz,u_bahn,52.52626150,13.30488250,VBB GTFS
Moritzplatz,u_bahn,52.50364700,13.41070150,VBB GTFS
Museumsinsel,u_bahn,52.51733450,13.39823400,VBB GTFS
Märkisches Museum,u_bahn,52.51234800,13.41018200,VBB GTFS
Möckernbrücke,u_bahn,52.49890700,13.38284025,VBB GTFS
Mühlenbeck-Mönchmühle,s_bahn,52.65476300,13.38617200,VBB GTFS
Naturkundemuseum,u_bahn,52.53129550,13.38215750,VBB GTFS
Nauener Platz,u_bahn,52.55162550,13.36746350,VBB GTFS
Neu-Westend,u_bahn,52.51624050,13.25924950,VBB GTFS
Neuenhagen (b Berlin),s_bahn,52.52078000,13.70039500,VBB GTFS
Neukölln,s_bahn,52.46943250,13.44318600,VBB GTFS
Neukölln,u_bahn,52.46862550,13.44180400,VBB GTFS
Nikolassee,s_bahn,52.43197500,13.19366700,VBB GTFS
Nollendorfplatz,u_bahn,52.49972450,13.35459900,VBB GTFS
Nordbahnhof,s_bahn,52.53237750,13.38758100,VBB GTFS
Nöldnerplatz,s_bahn,52.50384100,13.48533300,VBB GTFS
